Date,value,pnl,exposure,strat_ret,port_ret,tcost,drawdown
2001-03-01,993972.2201572157,-6027.779842784279,1.0,-0.0060277798427842,-0.006027779842784279,0.0,0.0
2001-03-02,1001535.894201524,7563.674044308253,1.0,0.0076095426923622,0.0076095426923620795,0.0,0.0
2001-03-05,1003711.5727181251,2175.678516601096,1.0,0.0021723420290749,0.002172342029074913,0.0,0.0
2001-03-06,1007572.0831361286,3860.5104180035414,1.0,0.0038462348377123,0.003846234837712386,0.0,0.0
2001-03-07,1016798.1866326926,9226.10349656397,1.0,0.0091567676903543,0.00915676769035439,0.0,0.0
2001-03-08,1024358.2642241135,7560.077591420966,1.0,0.0074351800493051,0.007435180049305067,0.0,0.0
2001-03-09,1007189.1878543575,-17169.076369756018,1.0,-0.0167608120804887,-0.016760812080488758,0.0,-0.016760812080488758
2001-03-12,978137.5123771067,-29051.67547725083,1.0,-0.028844308326165,-0.028844308326165018,0.0,-0.045121666375207245
2001-03-13,972827.3014767271,-5310.210900379578,1.0,-0.005428900162999,-0.005428900162999068,0.0,-0.050305605516267164
2001-03-14,953005.7029829707,-19821.598493756377,1.0,-0.0203752489919513,-0.02037524899195129,0.0,-0.06965586527013364
2001-03-15,953097.8979553387,92.19497236795723,1.0,9.674125986800706e-05,9.674125986799542e-05,0.0,-0.06956586260642907
2001-03-16,944865.027112044,-8232.870843294659,1.0,-0.0086380117519475,-0.008638011751947483,0.0,-0.07760296361964784
2001-03-19,952360.4883109981,7495.461198954028,1.0,0.0079328380074175,0.00793283800741754,0.0,-0.0702857373515205
2001-03-20,941744.6189411076,-10615.869369890424,1.0,-0.011146902354924,-0.01114690235492399,0.0,-0.08064917145524325
2001-03-21,926588.1373301847,-15156.481610922958,1.0,-0.0160940464177696,-0.01609404641776963,0.0,-0.09544524636405753
2001-03-22,907997.5687994019,-18590.568530782824,1.0,-0.0200634648575888,-0.020063464857588798,0.0,-0.11359374887539715
2001-03-23,927435.5519661176,19437.983166715712,1.0,0.0214075277673019,0.02140752776730179,0.0,-0.09461798244133733
2001-03-26,944705.4283081512,17269.876342033618,1.0,0.0186211066692693,0.018621106669269184,0.0,-0.07775876731593934
2001-03-27,948511.3277177141,3805.8994095629314,1.0,0.0040286625814978,0.004028662581497832,0.0,-0.07404336857071063
2001-03-28,942788.5463085109,-5722.781409203191,1.0,-0.0060334349648445,-0.006033434964844557,0.0,-0.07963006768670579
2001-03-29,947139.8637734053,4351.317464894382,1.0,0.0046153694610864,0.004615369461086442,0.0,-0.07538222040820482
2001-03-30,963564.4741654629,16424.61039205757,1.0,0.0173412724142155,0.01734127241421549,0.0,-0.059348171613276435
2001-04-02,959250.8731338227,-4313.601031640195,1.0,-0.0044767124020178,-0.004476712402017704,0.0,-0.06355919931939591
2001-04-03,940568.4949586077,-18682.37817521498,1.0,-0.019476008517126,-0.019476008517126102,0.0,-0.08179732832923574
2001-04-04,945567.4874878674,4998.992529259645,1.0,0.0053148628261036,0.005314862826103526,0.0,-0.07691720708274385
2001-04-05,956607.6818674286,11040.194379561231,1.0,0.0116757339118038,0.011675733911803824,0.0,-0.06613953801407726
2001-04-06,939213.9324729744,-17393.74939445418,1.0,-0.0181827406617718,-0.018182740661771824,0.0,-0.08311968060864972
2001-04-09,950811.3781664029,11597.445693428512,1.0,0.012348034129873,0.012348034129872988,0.0,-0.07179801113179649
2001-04-10,959116.0664071722,8304.68824076932,1.0,0.0087343172699349,0.008734317269934799,0.0,-0.0636908004704371
2001-04-11,943648.112946347,-15467.953460825258,1.0,-0.0161273009624038,-0.01612730096240372,0.0,-0.07879094072511768
2001-04-12,947603.2093283432,3955.096381996176,1.0,0.0041912830934905,0.004191283093490435,0.0,-0.07492989276940863
2001-04-16,952075.8309596172,4472.621631274,1.0,0.0047199308605594,0.004719930860559425,0.0,-0.07056362582210995
2001-04-17,969854.103325586,17778.27236596879,1.0,0.0186731684471496,0.01867316844714953,0.0,-0.053208103846178315
2001-04-18,976709.4151052756,6855.311779689626,1.0,0.0070683948814395,0.0070683948814394566,0.0,-0.04651580485361628
2001-04-19,972285.8854328098,-4423.529672465753,1.0,-0.0045290130350478,-0.0045290130350478484,0.0,-0.05083414720214636
2001-04-20,967169.3009961939,-5116.584436615929,1.0,-0.005262427968229,-0.0052624279682290135,0.0,-0.05582906413239773
2001-04-23,969319.297169216,2149.996173022082,1.0,0.0022229780978444,0.0022229780978444674,0.0,-0.05373019282134273
2001-04-24,970638.7615522958,1319.4643830797868,1.0,0.0013612278089718,0.0013612278089718513,0.0,-0.05244210404502071
2001-04-25,986768.8063506798,16130.044798384071,1.0,0.0166179689471581,0.016617968947158127,0.0,-0.03669561635440638
2001-04-26,998137.1068399574,11368.300489277579,1.0,0.0115207335458044,0.011520733545804336,0.0,-0.02559764322692022
2001-04-27,1007226.1481738711,9089.041333913687,1.0,0.0091060048480605,0.009106004848060453,0.0,-0.016724730642183026
2001-04-30,1005673.260753248,-1552.8874206230976,1.0,-0.0015417465317382,-0.0015417465317382054,0.0,-0.01824069187845939
2001-05-01,1007491.6841454029,1818.4233921548584,1.0,0.0018081651994933,0.0018081651994931848,0.0,-0.01646550886323551
2001-05-02,993770.9895553354,-13720.694590067491,1.0,-0.0136186678321876,-0.013618667832187584,0.0,-0.02985993839952675
2001-05-03,983981.0067671414,-9789.982788193971,1.0,-0.009851346931122,-0.009851346931121944,0.0,-0.03941712471813302
2001-05-04,995422.1744336258,11441.167666484369,1.0,0.0116274273464629,0.011627427346462913,0.0,-0.02824801712553667
2001-05-07,994549.00607141,-873.1683622157434,1.0,-0.0008771839573621,-0.0008771839573621693,0.0,-0.029100422375449027
2001-05-08,994384.1541806075,-164.85189080249984,1.0,-0.0001657554226048,-0.0001657554226047492,0.0,-0.02926135424524496
2001-05-09,998011.4315992118,3627.277418604237,1.0,0.0036477626914653,0.003647762691465238,0.0,-0.02572033003009727
2001-05-10,1002277.4353810583,4266.003781846492,1.0,0.0042745039252814,0.004274503925281351,0.0,-0.021555767756489104
2001-05-11,1000190.4428959808,-2086.9924850774696,1.0,-0.0020822502945843,-0.002082250294584364,0.0,-0.023593133547312527
2001-05-14,1006047.284974354,5856.842078373185,1.0,0.005855726896785,0.005855726896784889,0.0,-0.017875561597220074
2001-05-15,1005928.0813847838,-119.2035895701265,1.0,-0.0001184870645252,-0.00011848706452516813,0.0,-0.017991930638924847
2001-05-16,1021554.3851213816,15626.303736597765,1.0,0.015534215642023,0.01553421564202307,0.0,-0.0027372055272631584
2001-05-17,1021961.15358831,406.7684669283917,1.0,0.0003981858164898,0.0003981858164898967,0.0,-0.0023401096271910356
2001-05-18,1022016.1451585237,54.991570213693194,1.0,5.380984396577852e-05,5.3809843965797326e-05,0.0,-0.00228642570415914
2001-05-21,1025212.9148431149,3196.769684591214,1.0,0.0031279052681651,0.0031279052681651787,0.0,0.0
2001-05-22,1022953.6169849434,-2259.2978581715142,1.0,-0.0022037352685098,-0.0022037352685098073,0.0,-0.0022037352685098073
2001-05-23,1021149.5465290135,-1804.0704559298465,1.0,-0.0017635896935847,-0.0017635896935847095,0.0,-0.003963438477287584
2001-05-24,1024968.3248709468,3818.77834193327,1.0,0.0037396856855235,0.0037396856855234067,0.0,-0.00023857480590314215
2001-05-25,1014057.3132179778,-10911.011652969057,1.0,-0.010645218382083,-0.010645218382083033,0.0,-0.010881253507076872
2001-05-29,1013657.9404571857,-399.37276079203,1.0,-0.0003938364780632,-0.00039383647806322995,0.0,-0.011270804550581963
2001-05-30,1017800.4939676136,4142.553510427824,1.0,0.0040867370984728,0.004086737098472712,0.0,-0.007230128267195749
2001-05-31,1027029.0429679119,9228.549000298372,1.0,0.0090671492645121,0.009067149264511975,0.0,0.0
2001-06-01,1028831.8079912656,1802.765023353626,1.0,0.0017553203930281,0.0017553203930280197,0.0,0.0
2001-06-04,1034123.2056431228,5291.397651857231,1.0,0.0051431124220277,0.005143112422027832,0.0,0.0
2001-06-05,1028545.6283322177,-5577.577310905093,1.0,-0.0053935326859206,-0.005393532685920523,0.0,-0.005393532685920523
2001-06-06,1014802.8261104834,-13742.80222173431,1.0,-0.0133613928669535,-0.01336139286695351,0.0,-0.018682860443716694
2001-06-07,1013327.4185420944,-1475.4075683889678,1.0,-0.0014538859475233,-0.0014538859475233049,0.0,-0.02010958364298134
2001-06-08,1015284.1393105014,1956.7207684069872,1.0,0.0019309857136029,0.0019309857136029951,0.0,-0.018217429248099447
2001-06-11,1013491.482689052,-1792.6566214493942,1.0,-0.0017656698770718,-0.0017656698770718718,0.0,-0.01995093315911026
2001-06-12,1013831.7399592136,340.25727016164456,1.0,0.0003357278043017,0.0003357278043016751,0.0,-0.019621903437791865
2001-06-13,1004326.5275109314,-9505.212448282284,1.0,-0.0093755325204799,-0.009375532520479856,0.0,-0.028813470164476985
2001-06-14,985559.1761521869,-18767.351358744432,1.0,-0.0186865036864619,-0.018686503686461835,0.0,-0.046961550834490565
2001-06-15,991249.8835566186,5690.707404431654,1.0,0.0057740900213107,0.0057740900213108185,0.0,-0.04145862103523846
2001-06-18,992604.3051717737,1354.4216151550645,1.0,0.0013663775780688,0.0013663775780687918,0.0,-0.04014889158736987
2001-06-19,993054.6647717537,450.35959998006,1.0,0.0004537151386847,0.0004537151386847186,0.0,-0.03971339260859975
2001-06-20,998622.7095408224,5568.044769068714,1.0,0.0056069871746169,0.005606987174616906,0.0,-0.03432907791699979
2001-06-21,992820.4980679911,-5802.211472831317,1.0,-0.0058102138248981,-0.005810213824898131,0.0,-0.039939832458788564
2001-06-22,988431.2287639503,-4389.269304040819,1.0,-0.0044210099535438,-0.004421009953543717,0.0,-0.04418426801548911
2001-06-25,982960.0664203778,-5471.162343572476,1.0,-0.0055351977804407,-0.005535197780440685,0.0,-0.04947489713368006
2001-06-26,987899.5050073654,4939.438586987555,1.0,0.0050250653670757,0.005025065367075786,0.0,-0.04469844635873037
2001-06-27,986648.387663894,-1251.1173434713855,1.0,-0.0012664419175532,-0.0012664419175532006,0.0,-0.04590828029016537
2001-06-28,988024.6581152417,1376.2704513476929,1.0,0.0013948945425292,0.0013948945425292939,0.0,-0.04457742295726973
2001-06-29,986490.2017382409,-1534.4563770007808,1.0,-0.0015530547384596,-0.001553054738459578,0.0,-0.0460612465177772
2001-07-02,989616.6246463999,3126.422908158973,1.0,0.0031692386834152,0.003169238683415276,0.0,-0.04303798691863239
2001-07-03,987943.2410426062,-1673.3836037936853,1.0,-0.0016909412818238,-0.0016909412818237593,0.0,-0.044656153491688846
2001-07-05,986313.5665475646,-1629.6744950416032,1.0,-0.0016495628770351,-0.0016495628770350802,0.0,-0.046232053235692856
2001-07-06,976517.2096259932,-9796.356921571423,1.0,-0.009932294610792,-0.009932294610792012,0.0,-0.055705157473286145
2001-07-09,980950.6835436708,4433.473917677649,1.0,0.0045400878489132,0.004540087848913255,0.0,-0.051417975932939154
2001-07-10,980268.5736862121,-682.1098574587377,1.0,-0.0006953559122815,-0.0006953559122815688,0.0,-0.052077578051658205
2001-07-11,979942.3417984822,-326.2318877298385,1.0,-0.0003327984763431,-0.0003327984763431441,0.0,-0.05239304518937411
2001-07-12,991172.435878922,11230.094080439769,1.0,0.0114599539191553,0.01145995391915533,0.0,-0.04153351315377324
2001-07-13,993016.3014897192,1843.865610797191,1.0,0.0018602874172566,0.0018602874172566589,0.0,-0.039750490008431005
2001-07-16,990478.2911755223,-2538.0103141969303,1.0,-0.0025558596675497,-0.0025558596675496837,0.0,-0.042204753001802806
2001-07-17,994682.3284948404,4204.037319318159,1.0,0.0042444517530301,0.004244451753030055,0.0,-0.03813943728663745
2001-07-18,999224.4876661969,4542.15917135647,1.0,0.0045664420099125,0.004566442009912546,0.0,-0.03374715680538503
2001-07-19,1000725.8448002854,1501.3571340885246,1.0,0.0015025223587095,0.0015025223587095187,0.0,-0.03229534030431848
2001-07-20,985169.769643933,-15556.075156352366,1.0,-0.0155447920498715,-0.015544792049871449,0.0,-0.047338108004979465
2001-07-23,973576.8613115535,-11592.908332379535,1.0,-0.0117674219100019,-0.011767421910001892,0.0,-0.05854848242566553
2001-07-24,954902.2021877944,-18674.659123759135,1.0,-0.0191814944108281,-0.019181494410828108,0.0,-0.07660692944808327
2001-07-25,970164.2413060836,15262.039118289249,1.0,0.015982829533037,0.015982829533037105,0.0,-0.06184849540946427
2001-07-26,981059.0301841039,10894.788878020248,1.0,0.0112298396644193,0.011229839664419232,0.0,-0.05131320443197889
2001-07-27,976675.2196573956,-4383.810526708257,1.0,-0.0044684472512175,-0.004468447251217492,0.0,-0.05555236133590115
2001-07-30,981061.0916505589,4385.871993163251,1.0,0.004490614592128,0.0044906145921279296,0.0,-0.05131121098821538
2001-07-31,991950.8337110097,10889.742060450837,1.0,0.0110999632470692,0.011099963247069246,0.0,-0.04078080029727794
2001-08-01,992654.2435129397,703.4098019299563,1.0,0.0007091176074709,0.0007091176074709408,0.0,-0.04010060107334455
2001-08-02,989995.813100085,-2658.43041285465,1.0,-0.0026781031061195,-0.0026781031061194433,0.0,-0.04267131063517222
2001-08-03,990238.9815352598,243.168435174739,1.0,0.0002456257207929,0.0002456257207929783,0.0,-0.04243616608581118
2001-08-06,975314.999257441,-14923.982277818723,1.0,-0.0150710914800391,-0.015071091480039175,0.0,-0.05686769822470896
2001-08-07,976893.4771622305,1578.477904789499,1.0,0.0016184288214488,0.00161842882144874,0.0,-0.05534130572507654
2001-08-08,965185.0155475641,-11708.46161466639,1.0,-0.0119854025934108,-0.011985402593410901,0.0,-0.06666342048932736
2001-08-09,968154.3943249629,2969.378777398728,1.0,0.0030764866109263,0.0030764866109262525,0.0,-0.06379202299897507
2001-08-10,975879.4683357773,7725.074010814424,1.0,0.0079791756935634,0.007979175693563488,0.0,-0.05632185506476825
