,EEM,EWG,TIP,EWJ,EFA,IEF,EWQ,EWU,XLB,XLE,XLF,LQD,XLK,XLU,EPP,FXI,VGK,VPL,SPY,TLT,BND,CSJ,DIA
2008-12-31,0.22166622572442413,-0.7783337742755758,0.22166622572442413,0.22166622572442413,0.22166622572442413,0.22166622572442413,0.22166622572442413,-0.7783337742755758,0.22166622572442413,0.22166622572442413,0.22166622572442413,0.22166622572442413,0.22166622572442413,0.22166622572442413,0.22166622572442413,0.22166622572442413,1.2216662257244242,0.22166622572442413,0.22166622572442413,0.22166622572442413,0.22166622572442413,0.22166622572442413,0.22166622572442413
2009-01-02,-0.13227835347344047,-0.13227835347344047,-0.13227835347344047,0.8677216465265596,-0.13227835347344047,-0.13227835347344047,-0.13227835347344047,-0.13227835347344047,-0.13227835347344047,-0.13227835347344047,-0.13227835347344047,-0.13227835347344047,-0.13227835347344047,-0.13227835347344047,-0.13227835347344047,-0.13227835347344047,-0.13227835347344047,-0.13227835347344047,-0.13227835347344047,-0.13227835347344047,-0.13227835347344047,-0.13227835347344047,-0.13227835347344047
2009-01-05,0.30418407780307577,-0.6958159221969242,1.3041840778030758,0.30418407780307577,0.30418407780307577,0.30418407780307577,0.30418407780307577,-0.6958159221969242,0.30418407780307577,-0.6958159221969242,0.30418407780307577,0.30418407780307577,0.30418407780307577,0.30418407780307577,0.30418407780307577,0.30418407780307577,1.3041840778030758,0.30418407780307577,0.30418407780307577,0.30418407780307577,0.30418407780307577,0.30418407780307577,0.30418407780307577
2009-01-06,0.005296098077434631,0.005296098077434631,1.0052960980774346,0.005296098077434631,0.005296098077434631,0.005296098077434631,0.005296098077434631,0.005296098077434631,0.005296098077434631,0.005296098077434631,0.005296098077434631,0.005296098077434631,0.005296098077434631,0.005296098077434631,0.005296098077434631,0.005296098077434631,0.005296098077434631,0.005296098077434631,0.005296098077434631,0.005296098077434631,0.005296098077434631,0.005296098077434631,0.005296098077434631
2009-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-08,-0.23279402697530874,-0.23279402697530874,-0.23279402697530874,-0.23279402697530874,-0.23279402697530874,-0.23279402697530874,-0.23279402697530874,-0.23279402697530874,-0.23279402697530874,-0.23279402697530874,-0.23279402697530874,-0.23279402697530874,-0.23279402697530874,-0.23279402697530874,-0.23279402697530874,-0.23279402697530874,-0.23279402697530874,-0.23279402697530874,-0.23279402697530874,-0.23279402697530874,-1.2327940269753088,-0.23279402697530874,0.7672059730246913
2009-01-09,0.009061924244359162,0.009061924244359162,0.009061924244359162,0.009061924244359162,0.009061924244359162,0.009061924244359162,0.009061924244359162,0.009061924244359162,0.009061924244359162,0.009061924244359162,0.009061924244359162,0.009061924244359162,0.009061924244359162,0.009061924244359162,0.009061924244359162,0.009061924244359162,0.009061924244359162,0.009061924244359162,0.009061924244359162,0.009061924244359162,-0.9909380757556409,0.009061924244359162,0.009061924244359162
2009-01-12,0.17456756512057617,0.17456756512057617,0.17456756512057617,0.17456756512057617,0.17456756512057617,0.17456756512057617,-0.8254324348794239,0.17456756512057617,0.17456756512057617,0.17456756512057617,0.17456756512057617,0.17456756512057617,-0.8254324348794239,0.17456756512057617,0.17456756512057617,0.17456756512057617,0.17456756512057617,0.17456756512057617,0.17456756512057617,0.17456756512057617,-0.8254324348794239,0.17456756512057617,0.17456756512057617
2009-01-13,0.02195889609544218,0.02195889609544218,0.02195889609544218,0.02195889609544218,-0.9780411039045578,0.02195889609544218,0.02195889609544218,0.02195889609544218,0.02195889609544218,0.02195889609544218,0.02195889609544218,0.02195889609544218,0.02195889609544218,0.02195889609544218,0.02195889609544218,0.02195889609544218,0.02195889609544218,0.02195889609544218,0.02195889609544218,0.02195889609544218,-0.9780411039045578,0.02195889609544218,0.02195889609544218
2009-01-14,-0.07054996623123608,-0.07054996623123608,-0.07054996623123608,-0.07054996623123608,-0.07054996623123608,-0.07054996623123608,-1.070549966231236,-0.07054996623123608,-0.07054996623123608,-0.07054996623123608,-0.07054996623123608,-0.07054996623123608,-1.070549966231236,-0.07054996623123608,-0.07054996623123608,-0.07054996623123608,-0.07054996623123608,-0.07054996623123608,-0.07054996623123608,-0.07054996623123608,-1.070549966231236,-0.07054996623123608,0.9294500337687639
