,port_ret,equity,drawdown
2008-12-31,0.012037862243325322,1.0120378622433253,0.0
2009-01-02,-0.0029882988441174737,1.0090135906693805,-0.002988298844117443
2009-01-05,0.0038786173569207404,1.0129271682955197,0.0
2009-01-06,-0.00121608625183976,1.0116953614920405,-0.0012160862518396653
2009-01-08,0.012558640055479336,1.0244008793828172,0.0
2009-01-09,-0.00020910232061674644,1.0241866747816963,-0.00020910232061688294
2009-01-12,-0.0009007207767444916,1.0232641685644557,-0.0011096347545566099
2009-01-13,0.009701751093724433,1.033191622830995,0.0
2009-01-14,-0.0010753143342403092,1.0320806170689478,-0.0010753143342402405
2009-01-15,-0.0025901840258436065,1.029407338341233,-0.0036627130980726452
2009-01-16,0.039783128774303164,1.070360383043675,0.0
2009-01-21,0.009971990362307557,1.0810340064675823,0.0
2009-01-22,-0.0011697206170035153,1.0797694987025352,-0.001169720617003489
2009-01-23,0.0038643634739000568,1.0839421205135527,0.0
2009-01-26,0.011275537647156693,1.096164150700742,0.0
2009-01-27,0.010936793131421535,1.1081526712550365,0.0
2009-01-28,0.019090464476947885,1.1293078204606657,0.0
2009-01-29,0.0016009787748994346,1.131115818311551,0.0
2009-01-30,-0.001092176473445227,1.1298804402260494,-0.0010921764734452832
2009-02-02,-0.009355392864404124,1.1193099648179288,-0.010437351597863076
2009-02-03,-0.001092882211518984,1.1180866908682034,-0.011518827013485278
2009-02-04,0.012406770847674066,1.1319585362296394,0.0
2009-02-05,0.007721983120598432,1.140699500939622,0.0
2009-02-06,0.0012534129442010866,1.1421292684595432,0.0
2009-02-09,-0.005320233707402218,1.1360528738272742,-0.0053202337074022
2009-02-10,0.003741966920067927,1.140303946100584,-0.0015981749258743294
2009-02-11,-0.003977147798026051,1.1357687887722696,-0.005568966546013132
2009-02-12,-0.006195405094518615,1.1287322410321146,-0.011729869636821433
2009-02-13,0.022559977917713577,1.1541964154648103,0.0
2009-02-17,-2.3609067756052878e-05,1.1541691659634339,-2.360906775600302e-05
2009-02-18,-0.0008232463731061838,1.1532190003836036,-0.0008468360047827472
2009-02-19,-0.0014703396037242453,1.1515233768155724,-0.00231593047199119
2009-02-20,-0.008906292578917386,1.14126757271019,-0.011201596696532534
2009-02-23,0.01139454767646283,1.154271800479037,0.0
2009-02-24,0.00507953952303259,1.1601349697098924,0.0
2009-02-25,-0.0038231847989797134,1.1556995593289328,-0.003823184798979695
2009-02-26,-0.006715909594009975,1.1479379855706424,-0.010513418229518567
2009-02-27,-0.023299087849522025,1.1211920775990287,-0.033567553024112184
2009-03-02,-0.0034179163031925457,1.1173599369179927,-0.036870738240565304
2009-03-03,0.01748882211194597,1.1369012460897667,-0.020026741910844748
2009-03-04,-0.012157865507483616,1.1230789536445167,-0.031941124983623226
2009-03-11,0.0045681295966890755,1.1282093238520787,-0.02751890658532352
2009-03-12,-0.0003694709095733481,1.1277924833270059,-0.027878210059450348
2009-03-13,0.001084706726710151,1.1290158074200038,-0.026823743014720347
2009-03-16,0.019589934764136067,1.1511331534350402,-0.007759283626372571
2009-03-17,-0.014867595186539675,1.134018571703963,-0.02251151692501785
2009-03-18,-0.003487097143265697,1.130064138782164,-0.02592011422192375
2009-03-19,-0.0029370594658190232,1.126745073206371,-0.028781044770912256
2009-03-20,0.010839501468138722,1.1389584280816094,-0.01825351547982257
2009-03-23,0.002212975933443336,1.1414789156721463,-0.016080934136836866
2009-03-25,-0.008346006581760658,1.1319521251290057,-0.02429272913645053
2009-03-27,0.017099403332160316,1.1513078310692826,-0.007608716977833274
2009-03-30,0.018399911509647333,1.1724917932813215,0.0
2009-04-13,0.000536536646617427,1.1731208780962752,0.0
2009-04-14,-0.010530803053655793,1.1607669731709116,-0.010530803053655724
2009-04-15,-0.0017255810099680343,1.1587639757250099,-0.012238212309854668
2009-04-16,0.0014022554837130167,1.1603888588642994,-0.010853117926463929
2009-04-17,0.013918088311172187,1.1765392534772732,0.0
2009-04-20,-0.010128957223390514,1.1646221377071622,-0.010128957223390467
2009-04-21,0.0009419141852473691,1.1657191118191217,-0.00919658364663356
2009-04-22,-0.009250434994979663,1.1549357029528335,-0.01836194624241405
2009-04-23,-0.00027483569191445544,1.1546182853997957,-0.01863173541612817
2009-04-24,0.004872898055566841,1.1602446225976422,-0.013849627907842499
2009-04-27,0.006497763206159206,1.167783617416501,-0.0074418563043219255
2009-04-28,-0.010898987458535524,1.1550559584159954,-0.01825973506432843
2009-04-29,-0.0011711412344068445,1.1537032247550472,-0.0194094915700721
2009-04-30,-0.0006949483154107388,1.1529014606425196,-0.020090951292013215
2009-05-04,-0.002877384646065838,1.14958411968124,-0.02291052654330661
2009-05-05,0.006195330535196662,1.1567061732806785,-0.016857134292781017
2009-05-06,-0.00547808421080852,1.1503696394562848,-0.02224287370238076
2009-05-07,-0.016844129781331124,1.13099266395278,-0.03871234163235926
2009-05-08,0.007163334278146052,1.1390943424708049,-0.0318263167980154
2009-05-11,0.0010385537923978346,1.1402773532200767,-0.030820816347626345
2009-05-12,0.01015648689144307,1.1518585652106657,-0.020977360673401724
2009-05-13,0.0019494550592316431,1.1541040617181348,-0.01906880003606415
2009-05-14,-0.0003334901159665865,1.1537191794207549,-0.019395930895695468
2009-05-15,0.0030360496580458603,1.1572219281409162,-0.016418768247012938
2009-05-18,0.0019375932498116215,1.159464153537416,-0.014512987891727058
2009-05-19,-0.0004847491285457799,1.1589021042994085,-0.014990701862039768
2009-05-20,0.005725388755129557,1.1655372693756605,-0.009351140702782534
2009-05-21,0.0007851526371630019,1.1664523940364224,-0.00857333013840289
2009-05-22,0.006003677457356965,1.1734553979795788,-0.0026211241899325444
2009-05-26,-0.0012833642884827825,1.1719494272276845,-0.0039011246212341533
2009-05-27,0.0020335361176249413,1.1743326287159819,-0.0018755215814258985
2009-05-28,0.0011153012828977553,1.1756423634033375,-0.000762312070153981
2009-05-29,0.019407110790421407,1.198458184999819,0.0
2009-06-01,-0.0006745439632202011,1.1976497722659556,-0.0006745439632201977
2009-06-02,-0.0068418476190567085,1.189455635023114,-0.0075117764552681265
2009-06-05,0.00010700775957945135,1.189582916005737,-0.007405572514057601
2009-06-08,-0.005099659935241992,1.1835164476693343,-0.012467466547852024
2009-06-09,-0.0005047886307420921,1.1829190220222545,-0.012965961743226617
2009-06-10,0.003110698643782451,1.1865987266197637,-0.009895596299054121
2009-06-11,0.0028533816030703253,1.1899845455965272,-0.0070704506084149354
2009-06-12,-0.005120596102895655,1.1838911153698397,-0.012154841789479343
2009-06-15,-0.002745801909705868,1.1806403848843734,-0.014867268911387455
2009-06-16,-0.003260790697528788,1.1767905637002156,-0.018079580556752295
2009-06-17,0.0015486515339976355,1.1786130022118837,-0.016558927992918138
2009-06-18,0.007012861010184668,1.186878451381192,-0.009662192443225415
2009-06-19,0.02489980327037513,1.2164314913264311,0.0
