Date,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14
2024-11-19,-0.052491401075261096,-0.04628508657835781,0.006388216863203229,-0.0037292072210217634,-0.018097147329426185,0.00015524613015072478,0.0121328778239962,-0.002924031641996689,-0.033839704769309455,0.001806989710748095,-0.020737949006144212,-0.0037585081387543156,0.01640437310482568,0.00806042085533393,-0.00964441548972359
2024-11-20,0.022961997012552818,0.023685914880703582,0.004657451128344773,-0.001410727866782576,0.00822067910304845,-0.0010214552769444176,-0.012780250328939077,0.0023658156801292596,0.00046642865718991464,0.0028950090320087984,0.0010788469204272753,-0.01571492237645948,0.010746077773066558,-0.006006111055902812,-0.014489150432606906
2024-11-21,-0.0005368343034808474,0.010308064395080294,0.004659273361734044,-0.00041729682571008873,-0.012257884354376644,-0.021360551720048075,-0.0006618481075194817,-0.0018217777170812135,-0.005052837731308364,-0.004121738325894022,-0.0024988325028222807,-0.0007282858373576812,-0.00828266693622984,-0.011158996119150725,-0.009378436355205683
2024-11-22,-0.019737040049794086,-0.018219191205123896,0.023376397913827122,0.04604044278256245,0.005304334210173781,0.007489425185078296,0.003095530476451849,-0.004197135713035119,-0.01853393042188548,0.005521181816888611,-0.013576982705173041,0.004981103595427548,0.012190188998859892,-0.010496673210061884,0.0008980525596078242
2024-11-25,-0.01810460181708291,-0.014210995467446459,-0.00020470588750822087,-0.010921747632940081,-0.008096845913532992,0.0255188550701084,0.013429332903390349,-0.0056909877603644595,-0.005069888095074969,0.004630905170461509,0.0036358183920527443,0.01710301939034694,0.00543160388669506,-0.004323706610620027,-0.007161650519615292
2024-11-26,0.002090936724902291,0.032098238568657234,-0.026439593090919148,-0.03296257712422193,0.006707636557702882,-0.017416696011554517,-0.04030489319169751,0.008111665288323458,0.028412711498769023,0.019779361571985767,-0.017964870907448763,0.054487285521105815,-0.020796674141137193,-0.008665618895732573,0.04024739333376508
2024-11-27,-0.02147999982833708,-0.011867194524823124,-0.010102288475499254,0.000783599971994468,-0.006572634181239976,-0.00048666779013912777,0.002761853300100735,0.004417034006134745,-0.004592228738310007,0.0055135139743739525,0.010540267086033683,-0.006789304356361383,0.005444112528213659,0.014843699183041457,-0.01359256818771486
2024-11-28,-0.01338618201497558,0.007480789943226453,-0.013073300303579206,0.0030719469870303215,0.0048443851218768555,-0.009870719051591004,-0.0010055316194609576,0.016352184299780748,0.007976946385179217,0.0011833683238391059,-0.007539785149572579,-0.0003675087656072843,-0.006152645887401202,0.0023045598579345813,-0.010698309504675138
2024-11-29,0.011896390689727029,6.116206216622835e-05,-0.007349198616680091,0.005571890538556503,-0.005273617495154756,0.0026272693418298316,0.0018408012372700152,-0.0027741264135823633,0.0012143485212605118,-0.005306845973507347,0.005198178166615806,-0.005692876891054856,0.005147754947388242,-0.011932964162480983,0.003374452346692233
2024-12-02,0.006041251718125933,-0.0019205788094713663,0.010478829654562177,0.01272000465087079,-0.0026971399731800802,0.00102405393868393,-0.01095948523961358,-0.01084618654628209,0.004657570994301435,-0.007786653494489093,-0.004427754466822204,-0.005303081043800437,-0.0012391571967033449,0.001109580328584925,-0.0033650520721193065
2024-12-03,-0.0367886338066313,-0.01666235587945276,0.0032505555075058503,0.009792267587182298,0.002784413113345552,0.011969067447827164,0.0010951465731956636,3.7033233589770474e-05,-0.0021067787170481168,-0.005357883853851178,0.007529971214575293,0.014008853066487033,0.0011075352824687296,-0.0021027982764132477,-0.0034360101166305886
2024-12-04,0.010467652796023597,0.015897444645104876,-0.0032841204416922294,0.023972880041688363,0.005637135144668755,-0.005555619211771129,-0.004969456146390704,0.005426196095225903,-0.005178375876090369,0.008260608016791432,0.011530776270009833,-0.002027579238097613,0.011317988287272988,-0.008460865219986303,0.0076113543216197906
2024-12-05,-0.02064397581997665,-0.0037943333385518536,-0.00933198443054837,0.016940079023321078,-0.000765773048766632,-0.016449597166639674,-0.008427108459900134,-0.003768828592049007,-0.014591599432381844,0.014991484934575233,-0.015428144548301468,-0.0016733957151065363,0.005637461813833447,0.019403561317377402,0.010309174496964928
2024-12-06,0.02976142605140943,0.0256369327853588,-0.0017268381664497297,-0.0015793744595275193,-0.006299579021117361,0.014123358478355368,0.00024360778640693422,-0.011427985887011098,0.006206578755543227,0.0005937366230176341,0.004747888081052745,-0.002459938542797995,-0.012511255356735102,-0.00195801243406216,0.006891130914085351
2024-12-09,-0.013545403557331678,0.0014983535859845504,-0.01791571696469889,0.003257224367575004,0.01715882268156694,0.017851602831482877,-0.009653905898256349,-0.008756126953105839,0.02396822455245965,0.001415492453639595,0.006221440929178289,-0.002615564697828588,0.011592705488180926,0.011615151354254168,-0.01011448740757299
2024-12-10,0.07932234692934474,-0.030632639432663252,-0.0025837493452157455,-0.013004726248424529,0.002951444363888709,0.013106763246505946,-0.010467290943049537,-0.0003935691466338759,0.005848275743382039,0.026794679768449656,-0.0082045814295286,-0.00013458442909767762,0.009119314207579051,0.009299784062883338,0.0007022087720059094
2024-12-11,0.021551767427140642,0.0017076435179096342,0.01479507376626034,0.00722003987811114,-0.01592786147605803,0.006260589051371253,-0.019723301120241423,0.00644537404927834,0.0013184723833326074,-0.006299570920748741,0.007480847081211401,-0.008713909209308274,-0.015081225588705633,-0.0015996563138393283,-0.011584256480334225
2024-12-12,0.011966534912971727,0.0009964201316440624,0.02528615920311157,0.02171564970616576,0.022480842098167707,-0.011453042330705616,-0.009012309026136473,0.00011199960217761007,-0.004651072496544839,0.015090661533857238,-0.004301728786017723,0.011299565751762351,-0.008192801108179387,-0.0021819435939345417,0.005138140360544962
2024-12-13,-0.015345802474929063,0.007940252716815886,0.015031901600690475,0.012779118341133447,0.002353164856213079,0.0017637033888773157,0.0071842595433787,0.008796996933869606,0.017288975322352622,0.0006297221682810259,-0.0001357745021765967,0.002028851610918335,0.016575979876633992,0.001355872381827783,-0.0011094534677749141
2024-12-16,0.006720290606153144,0.031008328238539766,-0.014540029167378468,0.03574569717312422,0.0030915121670839034,-0.0018735023916596576,0.0013175821044596238,0.008856036224992512,-0.007445469835807633,0.0062239470995431746,-0.0028195820724057647,-0.006869841892683847,-0.023711832113420553,-0.009017651505733077,-0.008080475107547261
2024-12-17,-0.0478531241798928,-0.0194393970018268,-0.00024936566060625143,-0.016642759233998793,-0.016738208485173236,0.007083263661736133,-0.005190272925532387,0.017238392226493142,0.00125036220295075,-0.007955071500770199,0.005936700568608877,-0.006326157320623966,0.007702270926630992,-1.1187076362619962e-05,-0.005594250278826043
2024-12-18,-0.008363213196307204,0.0057863597258684995,-0.005649401584423813,0.004984446744409822,-0.0005706591339958571,-0.0016346197286976171,0.0015939428757061835,0.0019883798815338387,-0.016348419535198406,0.002200479090498751,-0.008039396148702352,0.01074647737083334,-0.0012040418029077159,-0.0019148055928779272,0.007042249239131883
2024-12-19,0.04436806550964171,0.05328513746755742,-0.028665615804239004,-0.04383025379001759,0.008977356026768891,-0.009950517995797615,-0.009269781114267373,-0.02168394571813349,0.025582085570890513,-0.017231577299674103,-0.010734031466239321,0.019165971496299415,0.015612919006522114,-0.01470384226338391,-0.01986952452289224
2024-12-20,0.051087604752421974,0.03243442895608996,0.0027562507357313418,0.010876727673898983,0.01604045926166025,-0.010121815611220006,0.006841955825088691,0.0006694065327083527,-0.014390606559208138,-0.012947787315551105,0.008458481501270891,0.00041959892289162703,0.0014714425488841468,-0.004938532019535687,0.014734207271411691
2024-12-23,-0.05900398977196301,-0.0492154942000094,-0.0006794574599319907,0.005641538135374052,-0.006437355855304331,-0.009766497178101496,0.0038123987130364717,0.004555564230251875,0.005955002163017047,-0.000891460788027715,0.0018370102108102998,0.008212621835052397,0.017316713549959797,-0.007947122395254658,0.0018301999144971477
2024-12-24,-0.009662245669987128,-0.004092974937729716,-0.006902028428556268,-0.0067732217676798965,0.0028469164089183576,-0.0019155473544316501,-0.008433612252387262,-0.006407494849921314,0.01277726904317198,-0.0022504162019646545,-0.010075244577265259,0.006010579005777277,-0.007925375926508037,-0.00722750448904431,0.015552709200035148
2024-12-27,-0.02551001045472854,-0.002449732277485685,-0.00047809506826857135,-0.00910599241822595,0.0012650624108843196,0.0021929484154750182,-0.002392606114276253,-0.0027495045850537197,-0.009513259564056816,0.0024568897143919517,0.0008519106376222727,0.00027143852432772787,-0.013482815357895186,-0.00628375158932758,0.0021528952617440042
2024-12-30,0.012875360606733204,0.00549491898478493,-0.0033140711888676516,0.006658456451474257,0.00021278428664733406,-0.0006144078778071759,0.006571210518015038,0.005158883792886696,0.004358071581269369,-0.002962082193376135,-0.006694973216364255,-0.008955325231878086,-0.003023754951118455,-0.003531434192928447,0.00822570827747888
2024-12-31,0.04259054057066878,0.020013501911925927,-0.008834247818119426,0.012464074768987431,0.014278618817893197,-0.0004236527607480614,0.011432688155455221,-0.00315002615388299,0.014656243743710076,0.00019310226275548958,0.017101074217493083,-0.0031982832179489233,0.007965554781030509,0.0017783572595149342,0.007857217982397371
2025-01-02,-0.0015413169706941033,-0.017806094970042242,0.0014185199348205166,0.000977936376264291,0.012665928274261759,-0.005496649207913703,0.0025599354639164887,8.834590425789673e-05,-0.002523060612515956,0.004436672304283325,-0.012573668608412488,-0.007763535454941499,-8.934146345469655e-05,-0.0058062074793954945,-0.00928147338815287
2025-01-03,-0.029713753638903953,-0.012175063288012003,0.014925412919475842,0.0011859565175379233,0.007248788659283617,-0.014102550746646889,0.001116022910062486,0.0008811851129744076,-0.003358239450826519,-0.010300244323001471,-0.013048434518095398,0.0037859499131648595,-0.003285247307612104,0.0043328549331836125,0.009506046432865524
2025-01-06,-0.015656375548753845,0.02218528467088293,0.002313255496116321,0.015704131382198443,0.008563424441100325,0.012536642055892026,0.011536202205951071,-0.005692883420759367,-0.0043641434352999905,-0.004408292819662599,-0.004184475883707097,-0.010837036029630669,0.007804362797167289,0.012554923716757605,-0.01720341609843883
2025-01-07,-0.041182529951433976,0.006777506008385366,0.006765251048390507,0.008607072911382229,0.010016717158716151,0.009989181523778173,0.018245117089642132,0.002389940775237609,-0.006562250741165354,0.009032825581116979,0.006644329737804031,-0.006202272033375673,-0.007556922959046035,-0.006937778751695911,-0.006404339370214289
2025-01-08,-0.008548700127179667,-0.02397423969936153,0.016888832622956193,0.00877733086783045,0.010769290951808414,-0.0152653384121106,-0.00042247753526221074,-0.010146225635281092,-1.6848852959163016e-05,-0.0017720825341376836,-0.00829150342546941,-0.0178305332614074,-0.01936292298785904,-0.015252737703510955,-0.010497340173775769
2025-01-09,0.010677449061821156,0.0024975207466551644,0.015860045690303713,-0.005188018358475948,0.0055923045706295586,0.01311388247836613,0.00885796298129112,0.007078412793870565,0.0038708924482812324,-0.010946669756469738,0.007812204050029265,0.01879205606988759,-0.012016139683345453,0.0024885518331453265,-0.012566141317083508
2025-01-10,0.030789284496762725,-0.010467834855045429,0.0007904380814141915,-0.0004592527331757233,0.014515905540690755,0.0067069726451719205,-0.013367699189723357,0.0024089798619930025,0.0035999705783666706,0.0003486792618248043,-0.003016062956583974,0.007015404702888728,0.004456625189856131,0.00927772377286383,-0.004379202738643144
2025-01-13,0.08373627023131132,0.005265884750378658,-0.004411175229141374,-0.012761825190776895,-0.003618348967430943,0.00019843702700020251,-0.017925029339006342,-0.02833204662457254,-0.027022723262716954,0.025967000800945488,-0.007945384239348405,0.011965218719511169,-0.0020782428609491515,-0.01816311945238884,0.004928122312639076
