Date,port_ret,equity,drawdown
2025-10-01,-0.01848792719606549,0.9815120728039345,0.0
2025-10-02,-0.00022933238900919693,0.9812869802954369,-0.00022933238900924025
2025-10-03,-0.012967376476417238,0.9685622625905393,-0.013193735025999964
2025-10-06,0.006551326380743159,0.974907630092841,-0.006728845109593262
2025-10-07,0.002177798352725964,0.9770307823237172,-0.004565700824662677
2025-10-08,0.0021913381154390903,0.9791717871169804,-0.002384367703464396
2025-10-09,0.0075698399461291924,0.9865839608252213,0.0
2025-10-10,0.0010316469797821445,0.9876017671887082,0.0
2025-10-13,0.004937896544950655,0.9924784425426965,0.0
2025-10-14,-0.00674854801833462,0.9857806541160351,-0.006748548018334577
2025-10-15,0.003847236860138713,0.989573185784562,-0.0029272744208844736
2025-10-16,-0.01136669615280371,0.9783250080607869,-0.014260697134790057
2025-10-17,-0.0029848492303591024,0.9754048554134356,-0.017202980334282025
2025-10-20,-0.0022137322184683957,0.9732455702589563,-0.019378629760930854
2025-10-21,-0.010764818368931851,0.9627687584667511,-0.029934840700247434
2025-10-22,-0.005729676248385519,0.9572524051786766,-0.03549300000287359
2025-10-23,0.004445336788566499,0.9615077145113611,-0.03120544155295646
2025-10-24,0.012909617696949614,0.9739204115183706,-0.018698674176519936
2025-10-27,0.0003770544501141595,0.9742876325435907,-0.018328670144715176
2025-10-28,0.002454214554491392,0.9766787434316403,-0.01591943807925733
2025-10-29,0.017540876670287867,0.9938105448166664,0.0
2025-10-30,0.0022956028092945492,0.9960919390952542,0.0
2025-10-31,0.0007120525896417589,0.9968012089400082,0.0
2025-11-03,0.013792789470316173,1.0105498781586746,0.0
2025-11-04,-0.009477478893456287,1.000972413017641,-0.009477478893456293
2025-11-05,0.0041088891897335415,1.0050852977447107,-0.00540753161429397
2025-11-06,0.0013657688800408582,1.006458011966157,-0.004049148172649675
2025-11-07,-0.001091896291542485,1.0053590641952979,-0.005136623214318625
2025-11-10,0.01887596150413935,1.024336183188886,0.0
2025-11-11,-0.017118517237643828,1.0068010665798248,-0.017118517237643793
2025-11-12,-0.00034411602549233583,1.0064546101983318,-0.017456742507022005
2025-11-13,-0.019204269677122496,0.9871263844462999,-0.036325768193355645
2025-11-14,0.007204197811945047,0.9942378381852411,-0.029383268401146356
2025-11-17,0.0027813187849436197,0.9970031305612875,-0.026683673852569867
2025-11-18,-0.0036582340163118588,0.9933558597946989,-0.03024429274551399
2025-11-19,0.012528799292072129,1.0058014159876705,-0.018094418126980982
2025-11-20,-0.01958329168921044,0.986104513476963,-0.03732336154806426
2025-11-21,-0.02250942664805318,0.9639078662635391,-0.05899266072709253
2025-11-24,0.017043824733472508,0.9803365429953503,-0.042954296563613825
2025-11-25,-0.008894495274340409,0.971616944246415,-0.05146673505015653
2025-11-26,0.007541180541548994,0.9789440830402054,-0.044313674449504736
2025-11-28,0.004271998981257045,0.9831261311656607,-0.04023098344035181
2025-12-01,-0.0030005729302692596,0.9801761895094447,-0.043110840370751746
2025-12-02,0.005524386307659917,0.985591061429865,-0.03782461499934775
2025-12-03,-0.003752744902073844,0.9818923895985544,-0.041435413770310014
2025-12-04,0.010542199449885699,0.9922436950080273,-0.03133003471667939
2025-12-05,-3.9140961515048606e-05,0.9922048576357475,-0.03136794939051124
2025-12-08,0.012511535557190335,1.0046188639920741,-0.01924887504747652
2025-12-09,0.006238594993851569,1.0108862742077038,-0.01313036598913353
2025-12-10,-0.0054375533894443825,1.0053895261210428,-0.018496522312489105
2025-12-11,-0.00419205271031306,1.0011748802331466,-0.02261103662631081
2025-12-12,-0.020155751288865147,0.9809954483505079,-0.04231104548455267
2025-12-15,-0.0011927064706705648,0.9798254087315619,-0.04345328729749298
2025-12-16,0.003341310014256095,0.9830993091819792,-0.04025716818723646
2025-12-17,-0.022323063110678817,0.9611535212590452,-0.061681567991814235
2025-12-18,0.014015693090769743,0.9746247540261246,-0.04853038482737526
2025-12-19,0.022062123665861282,0.9961270458772586,-0.027538944513127328
2025-12-22,0.0034820677304374563,0.9995956277191238,-0.024152769252709372
2025-12-23,0.006705613057699567,1.0062985292127766,-0.01760911531989029
2025-12-24,-0.0010363987156585357,1.0052556027095314,-0.018627263971047414
2025-12-26,-0.002502853109992685,1.0027395955979523,-0.02108349577547941
2025-12-29,-0.006497346449773297,0.9962244490464469,-0.027443855448827104
