Date,value,pnl,exposure,strat_ret,port_ret,tcost,drawdown
2004-01-02,1000000.0,0.0,1.0,0.0,0.0,0.0,0.0
2004-01-05,1011701.8195678262,11701.819567826227,1.0,0.0117018195678262,0.011701819567826227,0.0,0.0
2004-01-06,1011639.211794364,-62.60777346219402,1.0,-6.188362247766858e-05,-6.188362247775584e-05,0.0,-6.188362247775584e-05
2004-01-07,1009067.4454781616,-2571.766316202469,1.0,-0.0025421773753124,-0.002542177375312368,0.0,-0.0026039036786451586
2004-01-08,1012765.9412909177,3698.495812756126,1.0,0.0036652612561528,0.003665261256152743,0.0,0.0
2004-01-09,1007083.0194852708,-5682.921805646853,1.0,-0.0056112884270211,-0.005611288427021095,0.0,-0.005611288427021095
2004-01-12,1008524.1973981969,1441.1779129260685,1.0,0.0014310418158601,0.0014310418158600942,0.0,-0.004188276599540921
2004-01-13,1004590.3953974333,-3933.8020007635932,1.0,-0.0039005529177307,-0.0039005529177307437,0.0,-0.00807249292276106
2004-01-14,1009995.4042316118,5405.008834178443,1.0,0.0053803110789647,0.005380311078964804,0.0,-0.0027356143669034537
2004-01-15,1015456.8929136643,5461.488682052586,1.0,0.0054074391419708,0.0054074391419707485,0.0,0.0
2004-01-16,1019656.4357738084,4199.542860144051,1.0,0.0041356190395185,0.004135619039518502,0.0,0.0
2004-01-20,1014998.0782831501,-4658.357490658294,1.0,-0.0045685559637773,-0.004568555963777258,0.0,-0.004568555963777258
2004-01-21,1027441.4851239487,12443.406840798561,1.0,0.0122595373400571,0.012259537340057183,0.0,0.0
2004-01-22,1032042.7436573361,4601.258533387445,1.0,0.0044783655322545,0.004478365532254479,0.0,0.0
2004-01-23,1048810.6150536842,16767.871396348113,1.0,0.0162472644659333,0.01624726446593327,0.0,0.0
2004-01-26,1053300.5912254795,4489.976171795279,1.0,0.0042810170943642,0.004281017094364035,0.0,0.0
2004-01-27,1038411.29232193,-14889.29890354944,1.0,-0.0141358497541772,-0.014135849754177244,0.0,-0.014135849754177244
2004-01-28,1027023.449811696,-11387.842510234099,1.0,-0.0109666011862896,-0.010966601186289508,0.0,-0.02494742871378338
2004-01-29,1015174.2610588347,-11849.188752861228,1.0,-0.0115374081819006,-0.011537408181900587,0.0,-0.03619700822752418
2004-01-30,1040177.8658502399,25003.604791405145,1.0,0.0246298647931895,0.024629864793189484,0.0,-0.012458670852896585
2004-02-02,1044314.95693972,4137.091089480091,1.0,0.0039772919856341,0.003977291985634052,0.0,-0.00853093063899741
2004-02-03,1018915.7971813268,-25399.159758393187,1.0,-0.0243213597484262,-0.02432135974842624,0.0,-0.03264480655436372
2004-02-04,1011401.0599517119,-7514.737229614868,1.0,-0.0073752288956587,-0.007375228895658727,0.0,-0.03977927252942952
