Date,port_ret,equity,drawdown
2001-03-01,-0.01729787821594652,0.9827021217840535,0.0
2001-03-02,0.0022492820010336697,0.9849124959789598,0.0
2001-03-05,-0.014229868936703603,0.9708973202470575,-0.014229868936703638
2001-03-06,-0.006447529581876372,0.9646374310538002,-0.020585651017664408
2001-03-07,-0.00358362979326799,0.9611805276161743,-0.024095509458631592
2001-03-08,0.0061927015697372904,0.9671328317783441,-0.018052024188142224
2001-03-09,0.013231179317596962,0.9799291396995388,-0.005059694439624063
2001-03-12,0.010276648848641573,0.9899995273647825,0.0
2001-03-13,-0.022484545703668517,0.9677398377451387,-0.022484545703668535
2001-03-14,0.0008219621871529272,0.9685352832987668,-0.02168106496287936
2001-03-15,0.011475289555603925,0.9796495061194389,-0.010454571905598398
2001-03-16,0.027558771143677763,1.0066474426596015,0.0
2001-03-19,-0.024450466376351163,0.982034443210013,-0.024450466376351176
2001-03-20,0.01473227117958472,0.9965020409350754,-0.010078406097890125
2001-03-21,-0.006402641846143279,0.9901217952680174,-0.01641651951940859
2001-03-22,-0.036722207953671336,0.9537623368027228,-0.052535876629412726
2001-03-23,0.010091576192468345,0.9633873020940741,-0.04297447023878831
2001-03-26,0.002219603130053562,0.965525639565256,-0.04085025337738901
2001-03-27,-0.013802366539778723,0.9521991007844222,-0.054088789746810195
2001-03-28,0.026867469982127176,0.9777822815417562,-0.028674548699574975
2001-03-29,0.013059314859707863,0.9905514482206534,-0.01598970379979492
2001-03-30,0.013350337877691945,1.0037756447396362,-0.0028528338703944778
2001-04-02,0.01877986192053677,1.0226264127470444,0.0
2001-04-03,0.027461020974537686,1.0507087781166071,0.0
2001-04-04,0.007810066720010086,1.0589148837769982,0.0
2001-04-05,-0.06552899134670387,0.9895252595210793,-0.06552899134670387
2001-04-06,0.03641235073231612,1.025556200329247,-0.03150270523043874
2001-04-09,0.004572412560649982,1.030245466381285,-0.027074336034878854
2001-04-10,-0.052186903015480665,0.9764801461451063,-0.07784831330149877
2001-04-11,-0.0332922885157518,0.9439708873897399,-0.10854885331035247
2001-04-12,-0.021043486578313744,0.924106448690635,-0.12730809355093842
2001-04-16,0.023934394515417214,0.9462243770078377,-0.10642074117157518
2001-04-17,0.008835226990218823,0.9545844841623803,-0.09852576558607451
2001-04-18,-0.06835133269778969,0.8893373624972495,-0.16014273090098596
2001-04-19,-0.042722264331500316,0.8513428566167627,-0.19602333515216608
2001-04-20,0.0043056325648294915,0.8550084261440467,-0.1925617070426343
2001-04-23,0.03901739840443652,0.8883686305460591,-0.1610575654793187
2001-04-24,0.01453295835431683,0.9012792548570664,-0.14886525001676054
2001-04-25,0.0014072993055676878,0.9025476245265492,-0.1476674486741647
2001-04-26,0.017782494529283616,0.9185971727221106,-0.13251084974308258
2001-04-27,-0.014900701098472495,0.9049094308214765,-0.14543704627722887
2001-04-30,-0.013660071434118194,0.8925483033550479,-0.15711043727003293
2001-05-01,-0.011189818618440935,0.8825608497323076,-0.1665422185923583
2001-05-02,-0.03643664752137559,0.8504032911344459,-0.19691062599745612
2001-05-03,0.020991302449945303,0.868254363823078,-0.18005273405343147
2001-05-04,-0.006095979710916437,0.8629615028372978,-0.18505111595066326
2001-05-07,0.006215469301419047,0.8683252135664895,-0.17998582617962888
2001-05-08,-0.006382393769870496,0.8627832201332013,-0.18521947953382545
2001-05-09,0.011612239678260965,0.8728020656757698,-0.17575805284499402
2001-05-10,0.00868357323036662,0.8803811063286807,-0.16860068753733348
2001-05-11,-0.002578845350511924,0.8781107396059464,-0.1707447377886966
2001-05-14,0.00895836901568923,0.8859771796479762,-0.1633159631416058
2001-05-15,-0.002828744489211575,0.8834709765834797,-0.16568272850008026
2001-05-16,-0.022146965840848673,0.8639047750437042,-0.18416032461241905
2001-05-17,-0.015332697744959548,0.8506587842475318,-0.19666934776348266
2001-05-18,0.00354742639034576,0.8536764336679509,-0.19381959140756533
2001-05-21,-0.043867203687040605,0.8162280356694125,-0.22918447159979127
2001-05-22,0.0003168505006980112,0.8164866579311981,-0.22894023831367183
2001-05-23,0.025658087141234905,0.8374361437500524,-0.20915631975722426
2001-05-24,-0.0021211278965196237,0.8356598345839903,-0.21083380034917343
2001-05-25,0.003915648380568823,0.8389319846619856,-0.207743702997511
2001-05-29,0.030854399115674738,0.8648167269476515,-0.18329911100788976
2001-05-30,0.05039743494954626,0.9084012716872752,-0.1421394810816733
2001-05-31,-0.007369909296823221,0.9017064367098211,-0.1484618352954271
2001-06-01,-0.008022981849008999,0.8944720623349637,-0.1552937105345903
2001-06-04,0.005390814189884562,0.8992939950210543,-0.1507400558830554
2001-06-05,-0.03310634337905576,0.8695216592231645,-0.17885594721106868
2001-06-06,-0.0022698474813906866,0.8675479776749622,-0.18071981897115053
2001-06-07,-0.026789385946159774,0.8443069000742172,-0.20266783193877203
2001-06-08,0.0189703136618205,0.8603236667954643,-0.18754219061799127
