Date,port_ret,equity,drawdown,turnover,cost
2001-03-01,-0.0053277798427842984,0.9946722201572157,0.0,0.9999999999999984,0.0007999999999999987
2001-03-02,0.0076095426923622,1.0022412208814087,0.0,0.0,0.0
2001-03-05,0.0021723420290749,1.0044184316088007,0.0,0.0,0.0
2001-03-06,0.0038462348377123,1.008281660772095,0.0,0.0,0.0
2001-03-07,0.0091567676903543,1.0175142617062298,0.0,0.0,0.0
2001-03-08,0.0074351800493051,1.0250796634447514,0.0,0.0,0.0
2001-03-09,-0.0167608120804887,1.0078984958382233,-0.01676081208048874,0.0,0.0
2001-03-12,-0.028844308326165,0.9788263608627876,-0.0451216663752072,0.0,0.0
2001-03-13,-0.005428900162999,0.9735124102727519,-0.05030560551626706,0.0,0.0
2001-03-14,-0.0203752489919513,0.95367685251669,-0.06965586527013357,0.0,0.0
2001-03-15,9.674125986800706e-05,0.9537691124169094,-0.06956586260642894,0.0,0.0
2001-03-16,-0.0086380117519475,0.9455304436152077,-0.07760296361964769,0.0,0.0
2001-03-19,0.0079328380074175,0.9530311834554888,-0.07028573735152033,0.0,0.0
2001-03-20,-0.011146902354924,0.9424078379123128,-0.08064917145524308,0.0,0.0
2001-03-21,-0.0160940464177696,0.9272406824244821,-0.09544524636405738,0.0,0.0
2001-03-22,-0.0200634648575888,0.9086370215781319,-0.11359374887539697,0.0,0.0
2001-03-23,0.0214075277673019,0.9280886938479641,-0.09461798244133723,0.0,0.0
2001-03-26,0.0186211066692693,0.9453707324146498,-0.07775876731593923,0.0,0.0
2001-03-27,0.0040286625814978,0.9491793121099719,-0.07404336857071048,0.0,0.0
2001-03-28,-0.0060334349648445,0.9434525004603804,-0.07963006768670566,0.0,0.0
2001-03-29,0.0046153694610864,0.9478068823189909,-0.07538222040820464,0.0,0.0
2001-03-30,0.0173412724142155,0.9642430596613528,-0.059348171613276324,0.0,0.0
2001-04-02,-0.0044767124020178,0.9599264207976073,-0.0635591993193958,0.0,0.0
2001-04-03,-0.01891369277689601,0.9417706673862158,-0.08127075292721941,0.8033082003286374,0.0006426465602629099
2001-04-04,0.0053148628261036,0.9467760492970215,-0.0763878330046982,0.0,0.0
2001-04-05,0.0116757339118038,0.9578303545226825,-0.06560398310515647,0.0,0.0
