Date,port_ret,equity,drawdown,turnover,cost
2001-03-01,-0.006027779842784298,0.9939722201572156,0.0,0.9999999999999984,0.0014999999999999976
2001-03-02,0.0076095426923622,1.001535894201524,0.0,0.0,0.0
2001-03-05,0.0021723420290749,1.0037115727181252,0.0,0.0,0.0
2001-03-06,0.0038462348377123,1.0075720831361288,0.0,0.0,0.0
2001-03-07,0.0091567676903543,1.0167981866326927,0.0,0.0,0.0
2001-03-08,0.0074351800493051,1.0243582642241138,0.0,0.0,0.0
2001-03-09,-0.0167608120804887,1.0071891878543577,-0.01676081208048885,0.0,0.0
2001-03-12,-0.028844308326165,0.9781375123771069,-0.045121666375207314,0.0,0.0
2001-03-13,-0.005428900162999,0.9728273014767274,-0.05030560551626717,0.0,0.0
2001-03-14,-0.0203752489919513,0.9530057029829709,-0.06965586527013368,0.0,0.0
2001-03-15,9.674125986800706e-05,0.953097897955339,-0.06956586260642905,0.0,0.0
2001-03-16,-0.0086380117519475,0.9448650271120443,-0.0776029636196478,0.0,0.0
2001-03-19,0.0079328380074175,0.9523604883109983,-0.07028573735152055,0.0,0.0
2001-03-20,-0.011146902354924,0.9417446189411078,-0.08064917145524331,0.0,0.0
2001-03-21,-0.0160940464177696,0.926588137330185,-0.09544524636405749,0.0,0.0
2001-03-22,-0.0200634648575888,0.9079975687994021,-0.1135937488753972,0.0,0.0
2001-03-23,0.0214075277673019,0.9274355519661178,-0.09461798244133734,0.0,0.0
2001-03-26,0.0186211066692693,0.9447054283081514,-0.07775876731593934,0.0,0.0
2001-03-27,0.0040286625814978,0.9485113277177143,-0.0740433685707107,0.0,0.0
2001-03-28,-0.0060334349648445,0.9427885463085112,-0.07963006768670577,0.0,0.0
2001-03-29,0.0046153694610864,0.9471398637734055,-0.07538222040820486,0.0,0.0
2001-03-30,0.0173412724142155,0.9635644741654631,-0.059348171613276435,0.0,0.0
2001-04-02,-0.0044767124020178,0.9592508731338228,-0.06355919931939602,0.0,0.0
2001-04-03,-0.019476008517126057,0.940568494958608,-0.0817973283292357,0.8033082003286374,0.0012049623004929562
2001-04-04,0.0053148628261036,0.9455674874878676,-0.07691720708274385,0.0,0.0
2001-04-05,0.0116757339118038,0.9566076818674288,-0.06613953801407724,0.0,0.0
2001-04-06,-0.0181827406617718,0.9392139324729747,-0.08311968060864972,0.0,0.0
2001-04-09,0.012348034129873,0.9508113781664032,-0.07179801113179651,0.0,0.0
2001-04-10,0.0087343172699349,0.9591160664071725,-0.06369080047043707,0.0,0.0
