Date,net_ret,equity,drawdown
2024-11-20,-0.013822058999830814,0.9861779410001692,0.0
2024-11-21,-0.0031245509456275695,0.98309657778206,-0.00312455094562758
2024-11-22,0.009719593322965585,0.992651876715301,0.0
2024-11-25,0.0036736841026198744,0.9962985661342258,0.0
2024-11-26,0.004440041074951386,1.0007221726907771,0.0
2024-11-27,0.0019158537498689117,1.0026394100179037,0.0
2024-11-28,0.0033874151732188494,1.0060357659686656,0.0
2024-11-29,0.004029267692509165,1.0100893533779918,0.0
2024-12-02,0.003860054231680157,1.0139883530608735,0.0
2024-12-03,0.0009002397787278664,1.0149011857114658,0.0
2024-12-04,0.0006421882885160685,1.0155529433669308,0.0
2024-12-05,0.007242002467958575,1.0229075802891365,0.0
2024-12-06,-0.009677462657739229,1.01300843037857,-0.009677462657739277
2024-12-09,-0.006353936037724957,1.0065718396062684,-0.01596990871672943
2024-12-10,0.006499893217840125,1.013114449079794,-0.00957381820024672
2024-12-11,-0.005338696311331509,1.007705738707535,-0.014861402803667323
2024-12-12,-0.0004917108848891603,1.0072102388270472,-0.015345806175033228
2024-12-13,-0.0049290591961857885,1.0022456399368642,-0.02019922498416915
2024-12-16,-0.018848376232996143,0.9833549370374541,-0.038666878625048806
2024-12-17,0.003313099257257815,0.9866128895489737,-0.03548188657464413
2024-12-18,-0.004313846661027906,0.9823567928296658,-0.039642669817745
2024-12-19,-0.021442942088658806,0.9612921730106186,-0.06023555643326217
2024-12-20,-0.011314884987653075,0.9504152626334724,-0.07086888302770555
2024-12-23,0.01665295785850457,0.9662424879501872,-0.055396101691740585
2024-12-24,0.002048930886752416,0.9682222520278408,-0.05346067358875006
2024-12-27,0.006662407127233635,0.9746729428604973,-0.04715444323426088
2024-12-30,-0.004233027803046705,0.9705471251944915,-0.051187864968059715
2024-12-31,-0.010735238357071568,0.960128070468758,-0.06137358939370963
2025-01-02,0.005231751097209371,0.9651512215548944,-0.05646292964015054
2025-01-03,0.0051069267739978505,0.9700801781692098,-0.05164435491327035
2025-01-06,-0.0003951612553180863,0.9696968400682452,-0.05201910832047085
2025-01-07,0.00840188568239738,0.9778441220650805,-0.04405428123948241
2025-01-08,0.006881202360075502,0.9845728653456207,-0.03747622530344341
2025-01-09,-0.0033863665390835703,0.9812387407391248,-0.04073568360714819
2025-01-10,-0.0013051533394634425,0.9799580737198381,-0.04198767063311648
2025-01-13,-0.017257617796245964,0.9630463318272356,-0.05852068125742149
2025-01-14,0.008782821142007458,0.9715045955111405,-0.05025183679200651
2025-01-15,-0.0028391874610656388,0.9687463118451977,-0.052948349868156774
2025-01-16,0.01583288213764633,0.9840843580219223,-0.03795379271335575
2025-01-17,0.000888193645308301,0.9849584154951646,-0.03709930938555095
2025-01-20,0.003965769484061801,0.9888645335224052,-0.033280667210530024
2025-01-21,0.008816342356218459,0.997582701793861,-0.024757738610283075
2025-01-22,0.008462890415214098,1.0060251348792557,-0.016504370223856202
2025-01-23,-0.00267469122294776,1.0033343282809293,-0.019134917352625957
2025-01-24,0.0063493715115393815,1.0097048706814657,-0.012907040540200976
2025-01-28,-0.0002440880920432664,1.0094584137460543,-0.013147978177344921
2025-01-29,0.011416893433791115,1.0209832928816367,-0.0018811938092744285
2025-01-30,0.0003627780691243125,1.0213536832292365,-0.0015190981960079286
2025-01-31,0.006232601954124577,1.0277193741911834,0.0
2025-02-03,-0.02297579292587196,1.00410670666386,-0.02297579292587204
2025-02-04,0.00022438146185738567,1.004332009594562,-0.022756566806018674
2025-02-05,0.006287757607015094,1.010647005827859,-0.016611896975047724
2025-02-06,0.007805228078392952,1.0185353362150902,-0.00893632854135995
