Date,long_ret,short_ret,cum_ret,equity,drawdown,long_pnl,short_pnl
2025-05-08,0.007774050880003439,-0.009275490189077277,-0.001501439309073838,0.9039025126329105,-0.10911216570751214,0.9602670945822862,0.9309805612431931
2025-05-09,0.003118109584554682,-0.00266715112817102,0.0004509584563836622,0.9043101351147288,-0.1087104123049486,0.9632613126136358,0.928497495388968
2025-05-12,0.00010142940018504558,0.0035941288323295627,0.003695558232514608,0.9076520658792985,-0.10541659973158757,0.9633590156307957,0.9318346350078912
2025-05-13,0.004956932795822032,-0.0037274188992387027,0.0012295138965833295,0.9087680367075598,-0.10431669700930457,0.9681343215295269,0.9283612969783976
2025-05-14,-0.0008220956328723207,0.0026985461466906406,0.00187645051381832,0.9104732949569813,-0.10263599161518933,0.9673384225317637,0.9308665227790954
2025-05-15,-0.008120029455097065,0.00350733723017674,-0.004612692224920325,0.9062735618683356,-0.10677525559958922,0.9594836060477587,0.9341313855907638
2025-05-16,0.020170994294029847,-0.009404559687279941,0.010766434606749906,0.9160308969080174,-0.09715840979987134,0.9788373443905632,0.925346291219214
2025-05-19,-0.010009144569432332,0.009368274773029721,-0.000640869796402611,0.9154438403736175,-0.09773701370596666,0.9690400199005988,0.9340151895355595
2025-05-20,0.002855044006542566,-0.001550446872970966,0.0013045971335716002,0.9166381257837147,-0.09655992400031965,0.9718066718015158,0.9325670486056367
2025-05-21,0.003229526140721796,0.0029847829216685016,0.006214309062390297,0.922334398395705,-0.09094566814870819,0.9749451468518266,0.9353505588056256
2025-05-22,-0.003961580103388947,0.007094496190031603,0.003132916086642656,0.9252239946697027,-0.08809767720881911,0.9710828235561628,0.9419863997814161
2025-05-23,0.0053466396395599105,-0.00581869674989321,-0.0004720571103332995,0.924787236104368,-0.08852814718422208,0.9762748534738839,0.9365052665785644
2025-05-26,0.0012445544534971775,0.0004264151739077801,0.0016709696274049574,0.9263325274877101,-0.08700510540193251,0.977489880690612,0.936904606634678
2025-05-27,0.002539339774707676,-0.0023387798341744565,0.00020055994053321934,0.926518312684337,-0.08682199520016476,0.9799720596240241,0.9347133930341357
2025-05-28,-0.0010912083032979481,-0.0034790452870994805,-0.004570253590397429,0.9222838890392225,-0.09099545025527311,0.9789027059755624,0.9314614828093115
2025-05-29,-0.003020323890278244,-0.005526056801820977,-0.008546380692099221,0.9144016998173036,-0.09876414918824172,0.9759461027464463,0.9263141737465989
2025-05-30,0.0009197566262023112,7.48419506069184e-05,0.0009945985768092297,0.9153111624465737,-0.09786778129365503,0.9768437356412636,0.9263835009062369
2025-06-02,-0.0021627127231230534,0.010543031673397665,0.008380318950274612,0.9229817619266227,-0.09030762556557681,0.9747311032656891,0.9361503914980044
2025-06-03,0.006578763896068804,0.001847499455520449,0.008426263351589252,0.9307590493213304,-0.08264231804965982,0.9811436290562288,0.9378799288365822
2025-06-04,0.0060617797377706265,-0.017886255840227534,-0.011824476102456908,0.9197533111854848,-0.0934895920372869,0.9870911056266846,0.9211047684819967
2025-06-05,0.000997503351928039,-0.003807560177739729,-0.00281005682581169,0.9171687521153251,-0.09603693779685185,0.9880757323132056,0.9175976066459985
2025-06-06,-0.006148627143328648,0.0017016166725699108,-0.004447010470758737,0.9130900930712156,-0.10005687099964833,0.9820004230458402,0.9191590060321776
2025-06-10,0.0019201399509361844,-8.730637882162326e-05,0.001832833572114561,0.9147636352481616,-0.09840742501982269,0.9838860012899667,0.9190787575877997
2025-06-11,-0.002439244340181248,-0.0010588543683678546,-0.0034980987085491025,0.9115637017570724,-0.10156128484199833,0.9814860629299366,0.9181055870304538
2025-06-12,0.0051856105278537176,-0.0018192408226810613,0.0033663697051726565,0.9146323621870024,-0.09853680796933617,0.9865756673908078,0.9164353318669964
2025-06-13,-0.002729211759951886,0.010360651037878957,0.0076314392779270705,0.9216123235206595,-0.09165734635806788,0.9838830934772824,0.9259301985392531
2025-06-16,-0.002082588149969389,0.0043221704491346056,0.0022395822991652164,0.9236763501671088,-0.08726358675796686,0.9818340702058513,0.9299322266813407
2025-06-17,0.0007845717286248795,-0.00495303008084322,-0.00416845835221834,0.9198260437705081,-0.0894023543060144,0.9826043894595354,0.9253262443894424
2025-06-18,-0.004490942678184419,0.005737317359588513,0.0012463746814040944,0.9209724916627599,-0.08403264694464274,0.9781915694711403,0.9306351347146609
2025-06-19,-0.005676926429608168,0.007628100428283336,0.0019511739986751682,0.9227694692419872,-0.07136353809654561,0.9726384478971897,0.9377341129843534
2025-06-20,-0.0013321290537461861,-0.0006846551274982383,-0.0020167841812444246,0.9209084423734847,-0.06642412449669788,0.9713427679619553,0.9370920885156686
2025-06-23,-0.00969449391915929,0.01363078006962448,0.0039362861504651896,0.924533401521046,-0.061352392577036396,0.9619260914045287,0.9498653846792108
2025-06-24,0.004481767037326844,-0.011433377155775625,-0.006951610118448781,0.9181064057721884,-0.06787750478245569,0.9662372200533302,0.9390052154889574
2025-06-25,0.0003613766602280123,-0.0034370095494000263,-0.003075632889172014,0.9152826475148359,-0.07074437138548384,0.966586395632901,0.9357778455963854
2025-06-26,0.0007014462657663858,-0.007837038853735993,-0.007135592587969607,0.9087515634393318,-0.07737516096135466,0.9672644040506584,0.9284441182619813
2025-06-27,0.002248084596373047,-0.012592874356465755,-0.010344789760092708,0.8993507195713965,-0.08691952094864874,0.9694388962580246,0.9167523381337085
2025-06-30,0.002579888558581467,-0.0016311743273297174,0.0009487142312517495,0.9002039463979402,-0.08605326850389472,0.9719399405747245,0.9152569552552253
2025-07-01,0.00670727518914619,-0.007716085365736133,-0.001008810176589943,0.8992958114958075,-0.08697526726748916,0.9784590092234816,0.9081947544568924
2025-07-02,0.0008889032823398668,-0.0004251007029919624,0.00046380257934790437,0.8997129072127761,-0.08655180404143936,0.9793287646484153,0.9078086802283191
2025-07-03,0.004296186962633604,-0.011353676964198495,-0.007057490001564891,0.893363192365843,-0.09299845555136432,0.98353614411923,0.8975017137277114
2025-07-04,0.0033022983063822017,-0.0062301259701892115,-0.00292782766380701,0.8907475788974073,-0.09565399976431677,0.9867840738622206,0.891910164992727
